site,title,price,image_url,product_url,size_value,size_unit,pack_count,normalized_volume_ml,normalized_weight_g,notes,unit_price,unit_price_unit,per_unit_price,deal_score,deal_tier,price_percentile,value_score,store_rank,total_size,price_per_size,pack_efficiency,ml_predicted_score
Alfatah,DALDA OLIVE OIL POMACE TIN 3 LTR,7195.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject-2024-10-11T102144.224.png?v=1738748414,https://alfatah.pk/products/dalda-olive-oil-pomace-tin-3-ltr,3.0,l,0,3000.0,3000.0,no-pack,2.398333333333333,PKR/ml,7195.0,44.45427728613569,Fair,88.20058997050147,34.45427728613569,4,6000.0,1.1991666666666667,1.0,44.283185840707944
Alfatah,DALDA OLIVE OIL EXTRA VIRGIN 4 LTR,11900.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_4_393e0504-b6ea-4e8f-9e07-14cf30214d6d.png?v=1743745732,https://alfatah.pk/products/dalda-olive-oil-extra-virgin-4-ltr,4.0,l,0,4000.0,4000.0,no-pack,2.975,PKR/ml,11900.0,36.253687315634224,Poor,94.98525073746312,26.253687315634224,4,8000.0,1.4875,1.0,37.092625368731525
Alfatah,SUFI SOYABEAN COOKING OIL BOTTLE 3 LTR,1795.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject-2023-05-11T174000.826.png?v=1690227525,https://alfatah.pk/products/sufi-soyabean-cooking-oil-bottle-3-ltr,3.0,l,0,3000.0,3000.0,no-pack,0.5983333333333334,PKR/ml,1795.0,72.4188790560472,Good,49.70501474926254,62.4188790560472,4,6000.0,0.2991666666666667,1.0,72.43049585615961
Alfatah,SEASONS COOKING OIL GALON 16 LTR,9295.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8964000069486_1.jpg?v=1690226053,https://alfatah.pk/products/seasons-cooking-oil-galon-16-ltr,16.0,l,0,16000.0,16000.0,no-pack,0.5809375,PKR/ml,9295.0,60.91445427728614,Good,92.62536873156341,50.91445427728614,4,32000.0,0.29046875,1.0,61.26784660766968
Alfatah,DALDA KALONJI CANOLA OIL BOTTLE 1LTR,620.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000327033-1000.png?v=1738743224,https://alfatah.pk/products/dalda-kalonji-canola-oil-bottle-1ltr,1.0,l,0,1000.0,1000.0,no-pack,0.62,PKR/ml,620.0,77.43362831858407,Excellent,27.43362831858407,67.43362831858407,4,2000.0,0.31,1.0,77.4351285452502
Alfatah,SUFI SUNFLOWER COOKING OIL BOTTLE 4.5 LTR BASIC,2745.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8964000039229.jpg?v=1690227533,https://alfatah.pk/products/sufi-sunflower-cooking-oil-bottle-4-5-ltr-basic,4.5,l,0,4500.0,4500.0,no-pack,0.61,PKR/ml,2745.0,63.126843657817105,Good,65.63421828908554,53.126843657817105,4,9000.0,0.305,1.0,63.500290771175834
Alfatah,DALDA OLIVE OIL EXTRA VIRGIN TIN 3 LTR,8995.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_0029f9ae-b770-47a7-b163-0ab860cbeaac.png?v=1743743602,https://alfatah.pk/products/dalda-olive-oil-extra-virgin-tin-3-ltr,3.0,l,0,3000.0,3000.0,no-pack,2.998333333333333,PKR/ml,8995.0,37.138643067846616,Poor,91.44542772861357,27.138643067846612,4,6000.0,1.4991666666666668,1.0,38.17881022615539
Alfatah,DEW DROP OLIVE POMACE OIL SMOOTH & LIGHT 1 LTR,2395.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000293389.png?v=1690212311,https://alfatah.pk/products/dew-drop-olive-pomace-oil-smooth-light-1-ltr,1.0,l,0,1000.0,1000.0,no-pack,2.395,PKR/ml,2395.0,56.72566371681416,Fair,57.9646017699115,46.72566371681416,4,2000.0,1.1975,1.0,56.31748841129372
Alfatah,RAFHAN CORN OIL BOTTLE SAVE RS.75 1 LTR,1195.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_1_7e67d9bf-99c4-497a-8792-ca26e374b17b.png?v=1759997153,https://alfatah.pk/products/rafhan-corn-oil-bottle-save-rs-75-1-ltr,1.0,l,0,1000.0,1000.0,no-pack,1.195,PKR/ml,1195.0,67.99410029498526,Good,37.315634218289084,57.99410029498526,4,2000.0,0.5975,1.0,67.77912066301452
Alfatah,DEW DROP OLIVE POMACE OIL SMOOTH & LIGHT 4 LITTER,7995.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8697454721678_1.jpg?v=1690212312,https://alfatah.pk/products/dew-drop-olive-pomace-oil-smooth-light-4-litter,,,0,0.0,0.0,no-size-no-pack,7995.0,,7995.0,5.191740412979357,Poor,89.67551622418878,5.191740412979357,4,0.0,7995.0,1.0,
