site,category,section,product_id,title,price,image_url,product_url
Rainbow,GROCERY,OIL & GHEE,2145781,Borges Extra Virgin Olive Oil,1914.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/BORGES%20EXTRA%20VIRGIN%20OLIVE%20OIL250ML.png,
Rainbow,GROCERY,OIL & GHEE,2145782,Borges Extra Virgin Olive Oil,3384.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/BORGES%20EXTRA%20VIRGIN%20OLIVE%20OIL500ML.png,
Rainbow,GROCERY,OIL & GHEE,2145783,Borges Olive Oil Tin,798.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/BORGES%20OLIVE%20OIL%20TIN100ML%20.png,
Rainbow,GROCERY,OIL & GHEE,2145784,Borges Olive Oil Tin,1485.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/BORGES%20OLIVE%20OIL%20TIN200ML%20.png,
Rainbow,GROCERY,OIL & GHEE,2145785,Borges Olive Oil Pomace,3394.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/BORGES%20OLIVE%20OIL%20POMACE%201LTR.png,
Rainbow,GROCERY,OIL & GHEE,2145787,Dalda Cooking Oil Tin,2899.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/DALDA%20COOKING%20OIL%20TIN5LTR%20.png,
Rainbow,GROCERY,OIL & GHEE,2145788,Dalda Corn Oil Noz,698.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/DALDA%20CORN%20OIL%20NOZ1LTR%20.png,
Rainbow,GROCERY,OIL & GHEE,2145789,Dalda Corn Oil Tin,2119.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,OIL & GHEE,2145790,Dalda Olive Oil Extra Virgin Bottle,1263.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,OIL & GHEE,2145791,Dalda Olive Oil Pomace Bottle,2744.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,OIL & GHEE,2145792,Dalda Olive Oil Pomace Bottle,950.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
